CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 
Done!0.16 s

Number of sentences: 1805
Number of features:  51446
Number of thread(s): 8
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=102 terr=0.09018 serr=0.54515 act=51446 obj=8120.04936 diff=0.00126
iter=103 terr=0.09042 serr=0.54848 act=51446 obj=8109.03572 diff=0.00136
iter=104 terr=0.08966 serr=0.54737 act=51446 obj=8107.35463 diff=0.00021
iter=105 terr=0.08950 serr=0.54681 act=51446 obj=8106.60042 diff=0.00009
iter=106 terr=0.08934 serr=0.54792 act=51446 obj=8105.64741 diff=0.00012
iter=107 terr=0.08898 serr=0.54460 act=51446 obj=8103.76678 diff=0.00023
iter=108 terr=0.08942 serr=0.54460 act=51446 obj=8106.03434 diff=0.00028
iter=109 terr=0.08890 serr=0.54460 act=51446 obj=8103.07686 diff=0.00036
iter=110 terr=0.08906 serr=0.54404 act=51446 obj=8101.75366 diff=0.00016
iter=111 terr=0.08898 serr=0.54460 act=51446 obj=8101.18310 diff=0.00007
iter=112 terr=0.08879 serr=0.54238 act=51446 obj=8100.49734 diff=0.00008
iter=113 terr=0.08910 serr=0.54238 act=51446 obj=8099.81440 diff=0.00008

Done!2.77 s

opener.hotel.de.5/fold_2/evaluation.expression
